일자,after,역명,승차총승객수,하차총승객수,기후동행카드
20231101,0,4.19민주묘지,4515,4447,승하차 불가능
20231101,0,가능,7130,6897,승하차 불가능
20231101,0,가락시장,18429,19121,승하차 가능
20231101,0,가산디지털단지,70358,73570,승하차 가능
20231101,0,가양,24374,23853,승하차 가능
20231101,0,가오리,4770,4896,승하차 불가능
20231101,0,가좌,6744,6288,승하차 가능
20231101,0,가천대,13282,13882,승하차 불가능
20231101,0,가평,2120,2057,승하차 불가능
20231101,0,간석,6506,6149,승하차 불가능
20231101,0,갈매,3477,2983,승하차 불가능
20231101,0,강남,83370,80354,승하차 가능
20231101,0,강남구청,29575,32977,승하차 가능
20231101,0,강동,19720,19281,승하차 가능
20231101,0,강동구청,11542,11865,승하차 가능
20231101,0,강매,3836,3349,승하차 불가능
20231101,0,강변,31550,29101,승하차 가능
20231101,0,강일,6427,5894,승하차 가능
20231101,0,강촌,507,547,승하차 불가능
20231101,0,개롱,7562,7661,승하차 가능
20231101,0,개봉,24017,23497,승하차 가능
20231101,0,개포동,5559,5740,승하차 가능
20231101,0,개화,3277,2163,승하차 가능
20231101,0,개화산,6746,6397,승하차 가능
20231101,0,거여,11560,11292,승하차 가능
20231101,0,건대입구,51459,53376,승하차 가능
20231101,0,검암,7384,7789,승하차 불가능
20231101,0,경기광주,8842,8199,승하차 불가능
20231101,0,경마공원,2020,2045,승하차 불가능
20231101,0,경복궁,29556,30449,승하차 가능
20231101,0,경찰병원,8507,8382,승하차 가능
20231101,0,계양,14630,13473,승하차 불가능
20231101,0,고덕,11868,11819,승하차 가능
20231101,0,고려대,10794,10423,승하차 가능
20231101,0,고색,6317,5923,승하차 불가능
20231101,0,고속터미널,72960,72728,승하차 가능
20231101,0,고잔,10215,9642,승하차 불가능
20231101,0,곡산,740,762,승하차 불가능
20231101,0,곤지암,3113,2906,승하차 불가능
20231101,0,공덕,45225,45508,승하차 가능
20231101,0,공릉,13612,13420,승하차 가능
20231101,0,공항시장,3127,3384,승하차 가능
20231101,0,공항화물청사,2366,2548,승하차 불가능
20231101,0,과천,7167,6528,승하차 불가능
20231101,0,관악,8433,7962,승하차 불가능
20231101,0,관악산,3173,3305,승하차 불가능
20231101,0,광나루,15831,14696,승하차 가능
20231101,0,광명,3781,3276,승하차 불가능
20231101,0,광명사거리,21745,21343,승하차 가능
20231101,0,광운대,10092,9635,승하차 가능
20231101,0,광화문,38204,40538,승하차 가능
20231101,0,광흥창,10617,10162,승하차 가능
20231101,0,교대,52500,51946,승하차 가능
20231101,0,구로,19362,19707,승하차 가능
20231101,0,구로디지털단지,64353,63856,승하차 가능
20231101,0,구룡,3160,3056,승하차 가능
20231101,0,구리,14503,14646,승하차 불가능
20231101,0,구반포,1239,1297,승하차 가능
20231101,0,구산,8762,6492,승하차 가능
20231101,0,구성,5553,5696,승하차 불가능
20231101,0,구의,26929,26234,승하차 가능
20231101,0,구일,7939,7789,승하차 가능
20231101,0,구파발,24102,23365,승하차 가능
20231101,0,국수,771,738,승하차 불가능
20231101,0,국회의사당,19067,19795,승하차 가능
20231101,0,군자,29174,27012,승하차 가능
20231101,0,군포,8433,8212,승하차 불가능
20231101,0,굴봉산,99,87,승하차 불가능
20231101,0,굽은다리,10317,9932,승하차 가능
20231101,0,금곡,1688,1676,승하차 불가능
20231101,0,금릉,5853,5646,승하차 불가능
20231101,0,금정,30871,31269,승하차 불가능
20231101,0,금천구청,12733,12689,승하차 가능
20231101,0,금촌,7223,7100,승하차 불가능
20231101,0,금호,8841,8088,승하차 가능
20231101,0,기흥,12394,11581,승하차 불가능
20231101,0,길동,8620,8863,승하차 가능
20231101,0,길음,24534,24889,승하차 가능
20231101,0,김유정,331,318,승하차 불가능
20231101,0,까치산,30737,29539,승하차 가능
20231101,0,낙성대,29761,29438,승하차 가능
20231101,0,남구로,17020,17894,승하차 가능
20231101,0,남동인더스파크,2405,2734,승하차 불가능
20231101,0,남부터미널,31358,32062,승하차 가능
20231101,0,남성,12744,12062,승하차 가능
20231101,0,남영,11514,12160,승하차 가능
20231101,0,남위례,8223,8340,승하차 가능
20231101,0,남춘천,2560,2481,승하차 불가능
20231101,0,남태령,1425,1269,승하차 가능
20231101,0,남한산성입구,16333,14973,승하차 가능
20231101,0,내방,16611,16815,승하차 가능
20231101,0,노들,5155,4183,승하차 가능
20231101,0,노량진,37471,36615,승하차 가능
20231101,0,노원,41466,45911,승하차 가능
20231101,0,녹번,17590,16196,승하차 가능
20231101,0,녹사평,5588,5400,승하차 가능
20231101,0,녹양,5068,4795,승하차 불가능
20231101,0,녹천,4944,4179,승하차 가능
20231101,0,논현,20201,20346,승하차 가능
20231101,0,능곡,5440,5011,승하차 불가능
20231101,0,단대오거리,13482,13072,승하차 가능
20231101,0,달월,128,84,승하차 불가능
20231101,0,답십리,17588,15952,승하차 가능
20231101,0,당고개,10369,8943,승하차 가능
20231101,0,당곡,4773,4719,승하차 불가능
20231101,0,당산,41202,44996,승하차 가능
20231101,0,당정,7335,6963,승하차 불가능
20231101,0,대곡,3220,2380,승하차 불가능
20231101,0,대공원,4989,4984,승하차 불가능
20231101,0,대림,35507,36037,승하차 가능
20231101,0,대모산입구,6778,6311,승하차 가능
20231101,0,대성리,485,467,승하차 불가능
20231101,0,대야미,5537,5040,승하차 불가능
20231101,0,대청,12054,11362,승하차 가능
20231101,0,대치,12672,12570,승하차 가능
20231101,0,대화,14723,11171,승하차 불가능
20231101,0,대흥,10878,11277,승하차 가능
20231101,0,덕계,5561,4994,승하차 불가능
20231101,0,덕소,5919,5696,승하차 불가능
20231101,0,덕정,7183,6798,승하차 불가능
20231101,0,도곡,14019,13834,승하차 가능
20231101,0,도농,12694,11578,승하차 불가능
20231101,0,도림천,1357,1464,승하차 가능
20231101,0,도봉,6349,6091,승하차 가능
20231101,0,도봉산,18245,16721,승하차 가능
20231101,0,도심,2807,2191,승하차 불가능
20231101,0,도원,3434,3533,승하차 불가능
20231101,0,도화,4695,4371,승하차 불가능
20231101,0,독립문,8213,8406,승하차 가능
20231101,0,독바위,3024,3184,승하차 가능
20231101,0,독산,20455,21151,승하차 가능
20231101,0,돌곶이,11373,10414,승하차 가능
20231101,0,동대문,33640,33637,승하차 가능
20231101,0,동대문역사문화공원,38731,39313,승하차 가능
20231101,0,동대입구,12037,13745,승하차 가능
20231101,0,동두천,2641,2793,승하차 불가능
20231101,0,동두천중앙,3136,3121,승하차 불가능
20231101,0,동묘앞,17066,17785,승하차 가능
20231101,0,동암,16898,16890,승하차 불가능
20231101,0,동인천,15717,14927,승하차 불가능
20231101,0,동작,3524,3275,승하차 가능
20231101,0,두정,8414,8584,승하차 불가능
20231101,0,둔촌동,9810,9878,승하차 가능
20231101,0,둔촌오륜,1224,1228,승하차 가능
20231101,0,등촌,13222,12624,승하차 가능
20231101,0,디지털미디어시티,36138,36563,승하차 가능
20231101,0,뚝섬,26034,27514,승하차 가능
20231101,0,뚝섬유원지,9425,9068,승하차 가능
20231101,0,마곡,13434,13700,승하차 가능
20231101,0,마곡나루,28199,27445,승하차 가능
20231101,0,마두,8347,8674,승하차 불가능
20231101,0,마들,14661,13732,승하차 가능
20231101,0,마석,4162,4053,승하차 불가능
20231101,0,마장,6610,6126,승하차 가능
20231101,0,마천,8610,7808,승하차 가능
20231101,0,마포,16266,16656,승하차 가능
20231101,0,마포구청,15977,14345,승하차 가능
20231101,0,망우,8090,7807,승하차 가능
20231101,0,망원,14876,15751,승하차 가능
20231101,0,망월사,10402,10589,승하차 불가능
20231101,0,망포,17310,16538,승하차 불가능
20231101,0,매교,5848,5908,승하차 불가능
20231101,0,매봉,14597,13985,승하차 가능
20231101,0,매탄권선,6093,5893,승하차 불가능
20231101,0,먹골,11009,10839,승하차 가능
20231101,0,면목,17531,17030,승하차 가능
20231101,0,명동,34236,36788,승하차 가능
