week,after,노선명,역명,기후동행카드,승차총승객수,하차총승객수
1,0,1호선,가능,승하차 불가능,6427.0,6163.428571428572
1,0,1호선,가산디지털단지,승하차 가능,15622.857142857143,18161.714285714286
1,0,1호선,간석,승하차 불가능,5739.0,5444.0
1,0,1호선,개봉,승하차 가능,21547.285714285714,21072.428571428572
1,0,1호선,관악,승하차 불가능,7541.285714285715,7044.857142857143
1,0,1호선,광명,승하차 불가능,4055.8571428571427,3391.1428571428573
1,0,1호선,광운대,승하차 가능,8793.285714285714,8445.285714285714
1,0,1호선,구로,승하차 가능,17546.571428571428,17967.85714285714
1,0,1호선,구일,승하차 가능,7453.0,7494.571428571428
1,0,1호선,군포,승하차 불가능,6962.0,6753.571428571428
1,0,1호선,금정,승하차 불가능,27562.14285714286,28029.14285714286
1,0,1호선,금천구청,승하차 가능,11090.285714285714,11040.285714285714
1,0,1호선,남영,승하차 가능,9915.285714285714,10458.142857142857
1,0,1호선,노량진,승하차 가능,9070.714285714286,9308.42857142857
1,0,1호선,녹양,승하차 불가능,4461.0,4184.857142857143
1,0,1호선,녹천,승하차 가능,4434.285714285715,3707.0
1,0,1호선,당정,승하차 불가능,6326.428571428572,5938.714285714285
1,0,1호선,대방,승하차 가능,10296.0,11360.285714285714
1,0,1호선,덕계,승하차 불가능,4940.714285714285,4443.428571428572
1,0,1호선,덕정,승하차 불가능,6214.285714285715,5924.571428571428
1,0,1호선,도봉,승하차 가능,5768.714285714285,5515.428571428572
1,0,1호선,도봉산,승하차 가능,8009.428571428572,5272.571428571428
1,0,1호선,도원,승하차 불가능,3190.5714285714284,3211.1428571428573
1,0,1호선,도화,승하차 불가능,4084.714285714286,3729.5714285714284
1,0,1호선,독산,승하차 가능,16837.85714285714,17230.85714285714
1,0,1호선,동대문,승하차 가능,11581.142857142857,11154.714285714286
1,0,1호선,동두천,승하차 불가능,2388.1428571428573,2614.714285714286
1,0,1호선,동두천중앙,승하차 불가능,3028.0,2967.8571428571427
1,0,1호선,동묘앞,승하차 가능,9455.42857142857,9755.142857142857
1,0,1호선,동암,승하차 불가능,15406.714285714286,15340.0
1,0,1호선,동인천,승하차 불가능,14064.714285714286,13409.57142857143
1,0,1호선,두정,승하차 불가능,8279.285714285714,8947.857142857143
1,0,1호선,망월사,승하차 불가능,8609.42857142857,8694.285714285714
1,0,1호선,명학,승하차 불가능,9095.0,8799.0
1,0,1호선,방학,승하차 가능,9843.714285714286,9581.714285714286
1,0,1호선,배방,승하차 불가능,1292.5714285714287,1250.4285714285713
1,0,1호선,백운,승하차 불가능,7427.857142857143,7142.0
1,0,1호선,병점,승하차 불가능,16244.857142857143,16309.0
1,0,1호선,보산,승하차 불가능,1650.5714285714287,1539.5714285714287
1,0,1호선,봉명,승하차 불가능,1281.142857142857,1255.142857142857
1,0,1호선,부개,승하차 불가능,8685.0,8069.285714285715
1,0,1호선,부천,승하차 불가능,31700.428571428572,31622.428571428572
1,0,1호선,부평,승하차 불가능,28629.85714285714,30358.428571428572
1,0,1호선,서동탄,승하차 불가능,1418.857142857143,1222.7142857142858
1,0,1호선,서울역,승하차 가능,32606.785714285714,27887.928571428572
1,0,1호선,서정리,승하차 불가능,9031.285714285714,8387.714285714286
1,0,1호선,석계,승하차 가능,7774.571428571428,8761.285714285714
1,0,1호선,석수,승하차 불가능,9024.42857142857,8131.571428571428
1,0,1호선,성균관대,승하차 불가능,15642.285714285714,15317.857142857143
1,0,1호선,성환,승하차 불가능,5941.857142857143,5759.285714285715
1,0,1호선,세류,승하차 불가능,3330.285714285714,3071.0
1,0,1호선,세마,승하차 불가능,3150.0,2968.285714285714
1,0,1호선,소사,승하차 불가능,8256.42857142857,7856.0
1,0,1호선,소요산,승하차 불가능,3166.0,2843.0
1,0,1호선,송내,승하차 불가능,26144.85714285714,25739.571428571428
1,0,1호선,송탄,승하차 불가능,4801.0,4723.428571428572
1,0,1호선,수원,승하차 불가능,39402.42857142857,41663.0
1,0,1호선,시청,승하차 가능,27259.14285714286,27515.14285714286
1,0,1호선,신길,승하차 가능,8763.0,7461.714285714285
1,0,1호선,신도림,승하차 가능,3821.285714285714,4094.5714285714284
1,0,1호선,신설동,승하차 가능,13712.857142857143,13230.57142857143
1,0,1호선,신이문,승하차 가능,8243.0,7593.0
1,0,1호선,신창,승하차 불가능,2595.0,2509.285714285714
1,0,1호선,쌍용,승하차 불가능,2866.8571428571427,2726.1428571428573
1,0,1호선,아산,승하차 불가능,4788.428571428572,4081.1428571428573
1,0,1호선,안양,승하차 불가능,24483.714285714286,24407.14285714286
1,0,1호선,양주,승하차 불가능,7507.0,7147.285714285715
1,0,1호선,역곡,승하차 불가능,27034.14285714286,26697.428571428572
1,0,1호선,영등포,승하차 가능,41125.857142857145,42118.57142857143
1,0,1호선,오류동,승하차 가능,11332.714285714286,10569.57142857143
1,0,1호선,오산,승하차 불가능,10736.714285714286,10857.0
1,0,1호선,오산대,승하차 불가능,4157.857142857143,3818.4285714285716
1,0,1호선,온수,승하차 가능,6434.428571428572,5999.428571428572
1,0,1호선,온양온천,승하차 불가능,5286.142857142857,5348.0
1,0,1호선,외대앞,승하차 가능,10258.857142857143,10037.42857142857
1,0,1호선,용산,승하차 가능,43001.28571428572,43544.0
1,0,1호선,월계,승하차 가능,7411.714285714285,6877.714285714285
1,0,1호선,의왕,승하차 불가능,8818.57142857143,8738.0
1,0,1호선,의정부,승하차 불가능,18469.285714285714,19064.0
1,0,1호선,인천,승하차 불가능,3778.4285714285716,2949.285714285714
1,0,1호선,제기동,승하차 가능,16545.571428571428,16805.428571428572
1,0,1호선,제물포,승하차 불가능,10603.142857142857,10170.0
1,0,1호선,종각,승하차 가능,37370.42857142857,35892.28571428572
1,0,1호선,종로3가,승하차 가능,25852.428571428572,23783.85714285714
1,0,1호선,종로5가,승하차 가능,24967.571428571428,24368.14285714286
1,0,1호선,주안,승하차 불가능,19402.285714285714,17491.85714285714
1,0,1호선,중동,승하차 불가능,8999.42857142857,8365.0
1,0,1호선,지행,승하차 불가능,6531.285714285715,6581.285714285715
1,0,1호선,직산,승하차 불가능,939.1428571428571,927.0
1,0,1호선,진위,승하차 불가능,1717.4285714285713,1577.0
1,0,1호선,창동,승하차 가능,1.25,0.0
1,0,1호선,천안,승하차 불가능,8033.142857142857,7490.142857142857
1,0,1호선,청량리,승하차 가능,21430.428571428572,21187.85714285714
1,0,1호선,탕정,승하차 불가능,1559.142857142857,1419.7142857142858
1,0,1호선,평택,승하차 불가능,14357.57142857143,14337.57142857143
1,0,1호선,평택지제,승하차 불가능,4664.142857142857,4450.857142857143
1,0,1호선,화서,승하차 불가능,8589.42857142857,8265.57142857143
1,0,1호선,회룡,승하차 불가능,12794.57142857143,12504.142857142857
1,0,2호선,강남,승하차 가능,74604.71428571429,72704.71428571429
1,0,2호선,강변,승하차 가능,31622.285714285714,30224.714285714286
1,0,2호선,건대입구,승하차 가능,36010.0,38034.28571428572
1,0,2호선,교대,승하차 가능,29057.428571428572,35355.57142857143
1,0,2호선,구로디지털단지,승하차 가능,54654.71428571428,53884.57142857143
1,0,2호선,구의,승하차 가능,23811.85714285714,23184.428571428572
1,0,2호선,낙성대,승하차 가능,27080.85714285714,26214.571428571428
1,0,2호선,당산,승하차 가능,17595.571428571428,20615.428571428572
1,0,2호선,대림,승하차 가능,23723.0,24350.571428571428
1,0,2호선,도림천,승하차 가능,1169.857142857143,1255.0
1,0,2호선,동대문역사문화공원,승하차 가능,14447.714285714286,17027.285714285714
1,0,2호선,뚝섬,승하차 가능,23566.285714285714,24471.571428571428
1,0,2호선,문래,승하차 가능,21068.285714285714,21682.14285714286
1,0,2호선,방배,승하차 가능,17111.428571428572,17694.85714285714
1,0,2호선,봉천,승하차 가능,23368.85714285714,21680.285714285714
1,0,2호선,사당,승하차 가능,39310.28571428572,43378.0
1,0,2호선,삼성,승하차 가능,53172.28571428572,54098.857142857145
1,0,2호선,상왕십리,승하차 가능,14103.0,13628.42857142857
1,0,2호선,서울대입구,승하차 가능,45299.0,43799.71428571428
1,0,2호선,서초,승하차 가능,22000.285714285714,21037.571428571428
1,0,2호선,선릉,승하차 가능,52032.0,46002.857142857145
1,0,2호선,성수,승하차 가능,39289.28571428572,43397.28571428572
1,0,2호선,시청,승하차 가능,25813.14285714286,24629.428571428572
1,0,2호선,신답,승하차 가능,1602.2857142857142,1767.5714285714287
1,0,2호선,신당,승하차 가능,14218.285714285714,14799.57142857143
1,0,2호선,신대방,승하차 가능,25107.571428571428,24191.285714285714
1,0,2호선,신도림,승하차 가능,49085.57142857143,48391.28571428572
1,0,2호선,신림,승하차 가능,53392.142857142855,50749.57142857143
