일자,교통량,after
20231101,728567.0,0
20231102,713653.0,0
20231103,730235.0,0
20231104,761240.0,0
20231105,782404.0,0
20231106,736282.0,0
20231107,712788.0,0
20231108,716184.0,0
20231109,714071.0,0
20231110,718425.0,0
20231111,743123.0,0
20231112,772403.0,0
20231113,711799.0,0
20231114,719527.0,0
20231115,739539.0,0
20231116,772088.0,0
20231117,712719.0,0
20231118,763737.0,0
20231119,769857.0,0
20231120,732366.0,0
20231121,735350.0,0
20231122,741262.0,0
20231123,737092.0,0
20231124,731228.0,0
20231125,750880.0,0
20231126,751347.0,0
20231127,733463.0,0
20231128,729717.0,0
20231129,724186.0,0
20231130,735090.0,0
20231201,740650.0,0
20231202,741213.0,0
20231203,726197.0,0
20231204,708464.0,0
20231205,730709.0,0
20231206,735520.0,0
20231207,737171.0,0
20231208,727269.0,0
20231209,749547.0,0
20231210,772528.0,0
20231211,755159.0,0
20231212,720384.0,0
20231213,715260.0,0
20231214,760256.0,0
20231215,734859.0,0
20231216,749197.0,0
20231217,743412.0,0
20231218,697527.0,0
20231219,705812.0,0
20231220,732254.0,0
20231221,738720.0,0
20231222,726729.0,0
20231223,733904.0,0
20231224,756357.0,0
20231225,749579.0,0
20231226,739187.0,0
20231227,728187.0,0
20231228,741100.0,0
20231229,748829.0,0
20231230,788761.0,0
20231231,746357.0,0
20240101,760114.0,0
20240102,704678.0,0
20240103,735845.0,0
20240104,726840.0,0
20240105,722334.0,0
20240106,747050.0,0
20240107,740355.0,0
20240108,713026.0,0
20240109,760867.0,0
20240110,681589.0,0
20240111,720496.0,0
20240112,724769.0,0
20240113,739305.0,0
20240114,776676.0,0
20240115,691338.0,0
20240116,710147.0,0
20240117,727896.0,0
20240118,696127.0,0
20240119,707644.0,0
20240120,726141.0,0
20240121,761479.0,0
20240122,698085.0,0
20240123,699526.0,0
20240124,704970.0,0
20240125,703202.0,0
20240126,717955.0,0
20240127,736020.0,1
20240128,732898.0,1
20240129,700228.0,1
20240130,703031.0,1
20240131,700969.0,1
20240201,739054.0,1
20240202,713176.0,1
20240203,730174.0,1
20240204,737132.0,1
20240205,732433.0,1
20240206,723738.0,1
20240207,714780.0,1
20240208,710487.0,1
20240209,715239.0,1
20240210,694950.0,1
20240211,692588.0,1
20240212,718432.0,1
20240213,687581.0,1
20240214,712123.0,1
20240215,697790.0,1
20240216,717404.0,1
20240217,719290.0,1
20240218,741155.0,1
20240219,698826.0,1
20240220,721308.0,1
20240221,700373.0,1
20240222,705593.0,1
20240223,716253.0,1
20240224,723793.0,1
20240225,734959.0,1
20240226,693912.0,1
20240227,711239.0,1
20240228,705712.0,1
20240229,721312.0,1
20240301,747801.0,1
20240302,714997.0,1
20240303,723608.0,1
20240304,694907.0,1
20240305,686909.0,1
20240306,709410.0,1
20240307,688909.0,1
20240308,711541.0,1
20240309,725259.0,1
20240310,736156.0,1
20240311,666631.0,1
20240312,671485.0,1
20240313,668076.0,1
20240314,668964.0,1
20240315,675184.0,1
20240316,702311.0,1
20240317,700453.0,1
20240318,682233.0,1
20240319,698979.0,1
20240320,715170.0,1
20240321,684434.0,1
20240322,724175.0,1
20240323,736912.0,1
20240324,754545.0,1
20240325,710601.0,1
20240326,697471.0,1
20240327,700831.0,1
20240328,707212.0,1
20240329,705213.0,1
20240330,740597.0,1
20240331,716665.0,1
