일자,교통량,after
20231101,8755759.0,0
20231102,8836167.0,0
20231103,8759771.0,0
20231104,8156779.0,0
20231105,6821094.0,0
20231106,8102809.0,0
20231107,8676633.0,0
20231108,8554505.0,0
20231109,8668196.0,0
20231110,9009056.0,0
20231111,8162708.0,0
20231112,7351158.0,0
20231113,8291973.0,0
20231114,8482251.0,0
20231115,8468798.0,0
20231116,8218013.0,0
20231117,8687530.0,0
20231118,8051169.0,0
20231119,7261912.0,0
20231120,8074110.0,0
20231121,8390647.0,0
20231122,8476066.0,0
20231123,8499926.0,0
20231124,9006906.0,0
20231125,8414642.0,0
20231126,7461496.0,0
20231127,8229021.0,0
20231128,8403432.0,0
20231129,8409336.0,0
20231130,8571261.0,0
20231201,8896344.0,0
20231202,8303679.0,0
20231203,7266503.0,0
20231204,8440026.0,0
20231205,8677397.0,0
20231206,8471647.0,0
20231207,8693314.0,0
20231208,8796554.0,0
20231209,8148789.0,0
20231210,7186379.0,0
20231211,8011194.0,0
20231212,8507782.0,0
20231213,8593176.0,0
20231214,8449571.0,0
20231215,8413986.0,0
20231216,7868298.0,0
20231217,6835459.0,0
20231218,8335526.0,0
20231219,8474541.0,0
20231220,8262931.0,0
20231221,8398389.0,0
20231222,8518406.0,0
20231223,7674329.0,0
20231224,6448597.0,0
20231225,6045095.0,0
20231226,7643653.0,0
20231227,8412826.0,0
20231228,8417871.0,0
20231229,8479639.0,0
20231230,5985904.0,0
20231231,5944893.0,0
20240101,5735677.0,0
20240102,7645153.0,0
20240103,8031965.0,0
20240104,8175050.0,0
20240105,8379295.0,0
20240106,7627689.0,0
20240107,6400315.0,0
20240108,7944925.0,0
20240109,7118197.0,0
20240110,7938476.0,0
20240111,8199688.0,0
20240112,8522110.0,0
20240113,7889771.0,0
20240114,6525958.0,0
20240115,8124895.0,0
20240116,8510691.0,0
20240117,8138505.0,0
20240118,8434317.0,0
20240119,8866740.0,0
20240120,7841423.0,0
20240121,6865095.0,0
20240122,8070227.0,0
20240123,8167404.0,0
20240124,8316735.0,0
20240125,8536397.0,0
20240126,8700159.0,0
20240127,7982899.0,1
20240128,6931549.0,1
20240129,8178866.0,1
20240130,8395627.0,1
20240131,8328197.0,1
20240201,8552890.0,1
20240202,8811330.0,1
20240203,7996596.0,1
20240204,7118829.0,1
20240205,8172075.0,1
20240206,8592164.0,1
20240207,8701064.0,1
20240208,8455978.0,1
20240209,6590766.0,1
20240210,6900372.0,1
20240211,6219679.0,1
20240212,5982831.0,1
20240213,7849873.0,1
20240214,8392968.0,1
20240215,8254614.0,1
20240216,8817107.0,1
20240217,8203009.0,1
20240218,7003671.0,1
20240219,8002654.0,1
20240220,8512243.0,1
20240221,8231889.0,1
20240222,7751375.0,1
20240223,8685223.0,1
20240224,8096841.0,1
20240225,7017475.0,1
20240226,8354478.0,1
20240227,8531026.0,1
20240228,8591518.0,1
20240229,8834241.0,1
20240301,7559435.0,1
20240302,7358972.0,1
20240303,6705142.0,1
20240304,8847069.0,1
20240305,9076510.0,1
20240306,9193697.0,1
20240307,9176003.0,1
20240308,9489862.0,1
20240309,7877058.0,1
20240310,6984683.0,1
20240311,8897585.0,1
20240312,8971786.0,1
20240313,9192262.0,1
20240314,9258345.0,1
20240315,9314525.0,1
20240316,8818381.0,1
20240317,7610986.0,1
20240318,9025209.0,1
20240319,9198569.0,1
20240320,9335683.0,1
20240321,9397475.0,1
20240322,9479659.0,1
20240323,8838877.0,1
20240324,7734628.0,1
20240325,8883450.0,1
20240326,9063431.0,1
20240327,9402087.0,1
20240328,9296754.0,1
20240329,9443261.0,1
20240330,8488355.0,1
20240331,7584153.0,1
