week,start_date,end_date,average_users
1,2023-11-04,2023-11-10,0
2,2023-11-11,2023-11-17,0
3,2023-11-18,2023-11-24,0
4,2023-11-25,2023-12-01,0
5,2023-12-02,2023-12-08,0
6,2023-12-09,2023-12-15,0
7,2023-12-16,2023-12-22,0
8,2023-12-23,2023-12-29,0
9,2023-12-30,2024-01-05,0
10,2024-01-06,2024-01-12,0
11,2024-01-13,2024-01-19,0
12,2024-01-20,2024-01-26,0
13,2024-01-27,2024-02-02,71452
14,2024-02-03,2024-02-09,101648.875
15,2024-02-10,2024-02-16,236744.2
16,2024-02-17,2024-02-23,264100.1667
17,2024-02-24,2024-03-01,341760.3889
18,2024-03-02,2024-03-08,389684.3333
19,2024-03-09,2024-03-15,430762
20,2024-03-16,2024-03-22,451740.6667
21,2024-03-23,2024-03-29,470097
